"Exposure";"M1";"M2";"M3";"event";"surv_time"
1;8.37506548701346;11.176186409022;12.2807398503333;1;0.01
0;8.16007948444812;6.4337155150461;10.6476926073233;1;0.06
1;8.67840759570768;9.00332350004227;11.08017461188;1;0.02
1;8.3630550332891;7.98830322467892;10.675606720487;1;0.01
0;7.93128672830575;7.4811491364884;10.6804825792855;1;0.03
1;8.99620596763937;9.52573124180356;11.0284068677757;1;0.01
1;8.02863410779481;10.3595987822278;11.3888418953723;1;0.19
1;8.37900465262877;8.5900356219852;11.2643958394372;1;0.15
0;8.0325027255318;6.85918340166343;10.0077038897542;1;0.04
0;9.26107850946539;6.52404507052147;11.0473151554581;1;0.05
0;6.63719950049376;8.63141592205138;10.0421440826383;1;0
1;7.80496995511218;7.60880408524131;11.7924733662621;1;0.01
1;6.28842661801341;5.78247357445266;9.36637311991865;1;0.06
1;6.9168106868417;6.92595693096757;9.61875289126174;1;0.01
0;7.79217504487055;6.05034487409116;9.76986268475552;1;0
1;8.81939589074041;7.01828458306367;10.6058329114411;1;0.15
0;8.02844568643023;6.2865551838394;9.02764578714747;1;0.2
0;8.08813090736126;6.96734182202919;10.2576233103492;1;0.01
1;9.24529240954897;8.42886806117991;10.6806110698656;1;0.06
0;7.88112174881274;8.12033196220741;8.95541037172532;1;0.04
0;7.40164357480438;6.90290721526214;8.24265272849151;1;0
1;7.88396855860044;8.33229867476543;9.18119296557538;1;0.01
0;7.40086723384886;7.00538980842924;8.81329996981002;1;0.12
1;8.05835826442146;7.68002999762136;9.84589171837617;1;0.06
0;8.42018139628469;6.46955038002725;9.00613715330625;1;0.12
0;6.43253173947659;7.28197983761476;9.45746154713195;1;0.04
1;9.14601278275323;6.89565677116214;10.3809347159349;1;0.01
1;6.43776749566427;6.16038443123501;8.35531285117178;1;0.08
0;6.42980056718234;7.17680831959165;9.61970125974387;1;0.04
0;8.94609438052285;9.00412401984593;10.1163960739423;1;0.03
1;8.5862177885703;7.26593387479791;10.1805282647271;1;0.16
0;7.97442153320546;7.38628694404415;8.86533772933463;1;0.13
1;7.42789723497946;7.1369266772229;10.8236236555618;1;0.14
1;8.18808987718989;6.99769059361621;10.2739612355262;1;0.02
1;9.17093322178535;7.58502025832773;12.3689252541426;1;0.07
1;8.61775825303477;7.81682737720649;10.0883486221192;1;0
1;6.1086852170644;7.50779233045721;10.9617342631307;1;0.13
1;7.95963326764347;6.40952518125816;10.9048541081499;1;0.04
0;8.88667102083524;7.23863713777667;10.7905487916255;1;0.31
1;9.41897693551829;8.57447571471508;11.2438804409485;1;0
1;7.56067280948507;7.18494762748275;8.90647528777443;1;0.03
1;9.29733367328267;8.14563908233313;11.3488243180158;1;0.04
1;8.86531149517011;8.45723602994984;11.8306729486073;1;0.03
1;8.3905598758488;7.18330456727079;10.810197841012;1;0.02
1;9.96421824395314;8.46858453316472;10.3879976199316;1;0.13
0;8.21634664880872;5.80038074107096;9.39008706682968;1;0.01
0;9.56196943756651;6.58901196271869;10.7208694875506;1;0.08
0;8.03660561794287;6.92010848576178;9.76714287829402;1;0.1
1;7.12797934351547;7.70607718851682;10.7676523701361;1;0.06
1;8.41666598848744;7.21410952520364;10.3953064160887;1;0.18
1;8.2615687694469;6.50961282451506;11.1508960072717;1;0.15
0;9.164097441255;8.59906553258104;10.0208146281624;1;0.05
0;7.60333401881964;5.74236447534676;10.6035652826196;1;0.06
1;8.37359095205315;8.75844703137969;10.5626263220654;1;0.01
0;8.23146625973631;8.10809701975003;10.8919552226456;1;0.02
0;8.57502042907581;6.76625435454732;10.0350467554096;1;0.01
0;7.78068492828329;7.31250936116094;9.95112287802645;1;0.12
0;8.71463509847265;6.97769296827126;10.6882204846861;1;0.02
0;7.56424164950616;8.41614737358369;7.296944571177;1;0.01
0;7.08504063537598;6.9704272087225;8.81779130876699;1;0.04
1;7.82811537421795;5.90145959954155;11.3920045830759;1;0.11
0;6.71785127301723;5.77517933090411;9.69925473222967;1;0.04
0;8.13856302643173;7.09362611288004;9.69945198391726;1;0.06
0;9.39364459397835;7.07522617215071;9.99839598804923;1;0.01
1;6.78414847365964;7.01110328406825;8.16606586442651;1;0.03
1;8.57483916024178;7.31979134068618;12.1263106121677;1;0.01
1;8.50457686901216;8.82888766404876;10.4245898629746;1;0.11
1;8.48231087303517;9.53076022759421;11.8833611648779;1;0.03
0;7.81176188169685;8.5940929678398;10.786460523626;1;0.12
0;9.30448379495846;7.14607818224246;9.81963395191284;1;0.03
0;7.4718912326925;7.55164432557567;9.12157755297983;1;0.04
1;7.63595665967892;8.49990579112101;9.83140491334177;1;0.05
